VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee,cbd_congestion_fee
1,2025-01-01 00:18:38,2025-01-01 00:26:59,1.0,1.6,1.0,N,229,237,1,10.0,3.5,0.5,3.0,0.0,1.0,18.0,2.5,0.0,0.0
1,2025-01-01 00:32:40,2025-01-01 00:35:13,1.0,0.5,1.0,N,236,237,1,5.1,3.5,0.5,2.02,0.0,1.0,12.12,2.5,0.0,0.0
1,2025-01-01 00:44:04,2025-01-01 00:46:01,1.0,0.6,1.0,N,141,141,1,5.1,3.5,0.5,2.0,0.0,1.0,12.1,2.5,0.0,0.0
2,2025-01-01 00:14:27,2025-01-01 00:20:01,3.0,0.52,1.0,N,244,244,2,7.2,1.0,0.5,0.0,0.0,1.0,9.7,0.0,0.0,0.0
2,2025-01-01 00:21:34,2025-01-01 00:25:06,3.0,0.66,1.0,N,244,116,2,5.8,1.0,0.5,0.0,0.0,1.0,8.3,0.0,0.0,0.0
2,2025-01-01 00:48:24,2025-01-01 01:08:26,2.0,2.63,1.0,N,239,68,2,19.1,1.0,0.5,0.0,0.0,1.0,24.1,2.5,0.0,0.0
1,2025-01-01 00:14:47,2025-01-01 00:16:15,0.0,0.4,1.0,N,170,170,1,4.4,3.5,0.5,2.35,0.0,1.0,11.75,2.5,0.0,0.0
1,2025-01-01 00:39:27,2025-01-01 00:51:51,0.0,1.6,1.0,N,234,148,1,12.1,3.5,0.5,2.0,0.0,1.0,19.1,2.5,0.0,0.0
1,2025-01-01 00:53:43,2025-01-01 01:13:23,0.0,2.8,1.0,N,148,170,1,19.1,3.5,0.5,3.0,0.0,1.0,27.1,2.5,0.0,0.0
2,2025-01-01 00:00:02,2025-01-01 00:09:36,1.0,1.71,1.0,N,237,262,2,11.4,1.0,0.5,0.0,0.0,1.0,16.4,2.5,0.0,0.0
2,2025-01-01 00:20:28,2025-01-01 00:28:04,1.0,2.29,1.0,N,237,75,2,11.4,1.0,0.5,0.0,0.0,1.0,16.4,2.5,0.0,0.0
2,2025-01-01 00:33:58,2025-01-01 00:37:23,1.0,0.56,1.0,N,263,236,1,5.8,1.0,0.5,2.16,0.0,1.0,12.96,2.5,0.0,0.0
2,2025-01-01 00:42:40,2025-01-01 00:55:38,3.0,1.99,1.0,N,236,151,2,14.2,1.0,0.5,0.0,0.0,1.0,19.2,2.5,0.0,0.0
1,2025-01-01 00:30:07,2025-01-01 00:36:48,1.0,1.1,1.0,N,229,141,2,7.9,3.5,0.5,0.0,0.0,1.0,12.9,2.5,0.0,0.0
1,2025-01-01 00:39:55,2025-01-01 01:13:59,1.0,3.2,1.0,N,141,113,1,26.1,3.5,0.5,7.8,0.0,1.0,38.9,2.5,0.0,0.0
1,2025-01-01 00:16:54,2025-01-01 00:35:12,3.0,2.5,1.0,N,158,170,2,17.7,3.5,0.5,0.0,0.0,1.0,22.7,2.5,0.0,0.0
1,2025-01-01 00:43:10,2025-01-01 01:00:03,1.0,1.9,1.0,N,164,229,1,16.3,3.5,0.5,4.25,0.0,1.0,25.55,2.5,0.0,0.0
2,2025-01-01 00:01:41,2025-01-01 00:07:14,1.0,0.71,1.0,N,79,107,2,-7.2,-1.0,-0.5,3.66,0.0,-1.0,-8.54,-2.5,0.0,0.0
2,2025-01-01 00:01:41,2025-01-01 00:07:14,1.0,0.71,1.0,N,79,107,2,7.2,1.0,0.5,0.0,0.0,1.0,12.2,2.5,0.0,0.0
1,2025-01-01 00:33:12,2025-01-01 00:50:14,2.0,1.2,1.0,N,246,90,1,15.6,3.5,0.5,0.0,0.0,1.0,20.6,2.5,0.0,0.0
2,2025-01-01 00:05:49,2025-01-01 00:20:00,2.0,3.45,1.0,N,263,107,1,17.7,1.0,0.5,4.54,0.0,1.0,27.24,2.5,0.0,0.0
2,2025-01-01 00:34:40,2025-01-01 00:51:19,2.0,1.19,1.0,N,246,170,1,14.9,1.0,0.5,3.98,0.0,1.0,23.88,2.5,0.0,0.0
2,2025-01-01 00:55:54,2025-01-01 01:00:38,1.0,0.69,1.0,N,137,233,4,-6.5,-1.0,-0.5,0.0,0.0,-1.0,-11.5,-2.5,0.0,0.0
2,2025-01-01 00:55:54,2025-01-01 01:00:38,1.0,0.69,1.0,N,137,233,4,6.5,1.0,0.5,0.0,0.0,1.0,11.5,2.5,0.0,0.0
1,2025-01-01 00:17:44,2025-01-01 00:22:52,1.0,1.0,1.0,N,142,237,1,7.2,3.5,0.5,1.83,0.0,1.0,14.03,2.5,0.0,0.0
1,2025-01-01 00:37:13,2025-01-01 00:43:23,3.0,1.1,1.0,N,142,239,1,7.9,3.5,0.5,2.55,0.0,1.0,15.45,2.5,0.0,0.0
1,2025-01-01 00:48:06,2025-01-01 00:53:23,1.0,0.7,1.0,N,143,143,1,7.2,3.5,0.5,1.0,0.0,1.0,13.2,2.5,0.0,0.0
2,2025-01-01 00:14:14,2025-01-01 00:22:46,2.0,1.88,1.0,N,113,90,1,11.4,1.0,0.5,1.0,0.0,1.0,17.4,2.5,0.0,0.0
2,2025-01-01 00:32:01,2025-01-01 00:46:43,1.0,3.06,1.0,N,90,246,1,17.7,1.0,0.5,10.0,0.0,1.0,32.7,2.5,0.0,0.0
2,2025-01-01 00:00:37,2025-01-01 00:04:46,1.0,0.86,1.0,N,140,263,2,6.5,1.0,0.5,0.0,0.0,1.0,11.5,2.5,0.0,0.0
2,2025-01-01 00:11:07,2025-01-01 00:23:29,3.0,3.98,1.0,N,140,79,1,19.1,1.0,0.5,6.03,0.0,1.0,30.13,2.5,0.0,0.0
1,2025-01-01 00:14:54,2025-01-01 00:53:29,1.0,1.8,1.0,N,142,68,1,30.3,3.5,0.5,7.05,0.0,1.0,42.35,2.5,0.0,0.0
1,2025-01-01 00:27:31,2025-01-01 00:48:55,1.0,2.9,1.0,N,79,161,1,17.7,3.5,0.5,0.0,0.0,1.0,22.7,2.5,0.0,0.0
1,2025-01-01 00:55:38,2025-01-01 00:59:32,1.0,0.4,1.0,N,162,229,1,5.1,3.5,0.5,2.0,0.0,1.0,12.1,2.5,0.0,0.0
2,2025-01-01 00:32:47,2025-01-01 01:01:49,1.0,4.41,1.0,N,246,236,1,28.9,1.0,0.5,3.39,0.0,1.0,37.29,2.5,0.0,0.0
2,2025-01-01 00:32:04,2025-01-01 00:40:54,1.0,1.51,1.0,N,237,140,1,10.7,1.0,0.5,3.14,0.0,1.0,18.84,2.5,0.0,0.0
2,2025-01-01 00:53:47,2025-01-01 00:58:02,1.0,0.65,1.0,N,263,141,1,5.8,1.0,0.5,2.16,0.0,1.0,12.96,2.5,0.0,0.0
2,2025-01-01 00:16:55,2025-01-01 00:27:36,1.0,1.66,1.0,N,238,236,1,12.1,1.0,0.5,3.42,0.0,1.0,20.52,2.5,0.0,0.0
2,2025-01-01 00:39:33,2025-01-01 00:43:53,1.0,0.77,1.0,N,239,142,1,6.5,1.0,0.5,0.69,0.0,1.0,12.19,2.5,0.0,0.0
2,2025-01-01 00:59:29,2025-01-01 01:27:47,1.0,4.26,1.0,N,239,113,1,27.5,1.0,0.5,6.5,0.0,1.0,39.0,2.5,0.0,0.0
2,2025-01-01 00:15:41,2025-01-01 01:03:03,4.0,3.05,1.0,N,114,161,1,37.3,1.0,0.5,8.46,0.0,1.0,50.76,2.5,0.0,0.0
2,2025-01-01 00:39:26,2025-01-01 00:57:14,1.0,2.31,1.0,N,224,68,1,17.0,1.0,0.5,3.3,0.0,1.0,25.3,2.5,0.0,0.0
2,2025-01-01 00:07:07,2025-01-01 00:13:18,2.0,1.02,1.0,N,237,236,1,7.9,1.0,0.5,1.55,0.0,1.0,14.45,2.5,0.0,0.0
2,2025-01-01 00:22:56,2025-01-01 00:33:12,2.0,1.5,1.0,N,237,140,1,10.7,1.0,0.5,3.14,0.0,1.0,18.84,2.5,0.0,0.0
2,2025-01-01 00:43:44,2025-01-01 01:05:18,4.0,2.26,1.0,N,237,238,1,19.8,1.0,0.5,4.96,0.0,1.0,29.76,2.5,0.0,0.0
1,2025-01-01 00:56:12,2025-01-01 01:03:30,2.0,0.7,1.0,N,79,4,1,7.9,3.5,0.5,1.0,0.0,1.0,13.9,2.5,0.0,0.0
1,2025-01-01 00:24:02,2025-01-01 00:35:10,1.0,1.2,1.0,N,164,233,1,10.0,3.5,0.5,3.0,0.0,1.0,18.0,2.5,0.0,0.0
2,2025-01-01 00:52:53,2025-01-01 00:59:31,1.0,1.63,1.0,N,237,263,1,9.3,1.0,0.5,2.0,0.0,1.0,16.3,2.5,0.0,0.0
1,2025-01-01 00:13:55,2025-01-01 00:24:40,1.0,1.3,1.0,N,114,79,1,10.7,3.5,0.5,3.9,0.0,1.0,19.6,2.5,0.0,0.0
1,2025-01-01 00:27:34,2025-01-01 00:33:38,1.0,1.2,1.0,N,79,170,1,7.9,3.5,0.5,1.0,0.0,1.0,13.9,2.5,0.0,0.0
1,2025-01-01 00:54:38,2025-01-01 01:27:41,1.0,3.5,1.0,N,249,142,1,29.6,3.5,0.5,8.65,0.0,1.0,43.25,2.5,0.0,0.0
2,2025-01-01 00:37:14,2025-01-01 00:42:58,4.0,1.01,1.0,N,107,170,1,7.9,1.0,0.5,3.23,0.0,1.0,16.13,2.5,0.0,0.0
2,2025-01-01 00:46:47,2025-01-01 01:02:28,1.0,1.58,1.0,N,137,79,2,12.1,1.0,0.5,0.0,0.0,1.0,17.1,2.5,0.0,0.0
2,2025-01-01 00:19:52,2025-01-01 00:36:32,1.0,3.41,1.0,N,232,49,1,19.8,1.0,0.5,0.0,0.0,1.0,24.8,2.5,0.0,0.0
2,2025-01-01 00:25:03,2025-01-01 00:54:59,2.0,5.17,1.0,N,211,263,1,28.9,1.0,0.5,6.78,0.0,1.0,40.68,2.5,0.0,0.0
2,2025-01-01 00:14:46,2025-01-01 00:37:07,1.0,6.06,1.0,N,79,260,2,28.2,1.0,0.5,0.0,0.0,1.0,33.2,2.5,0.0,0.0
2,2025-01-01 00:11:10,2025-01-01 00:26:43,1.0,1.63,1.0,N,246,48,1,14.9,1.0,0.5,5.97,0.0,1.0,25.87,2.5,0.0,0.0
2,2025-01-01 00:30:40,2025-01-01 00:49:16,1.0,2.22,1.0,N,48,239,1,17.0,1.0,0.5,2.5,0.0,1.0,24.5,2.5,0.0,0.0
2,2025-01-01 00:52:50,2025-01-01 01:04:50,1.0,1.26,1.0,N,142,48,1,12.1,1.0,0.5,4.28,0.0,1.0,21.38,2.5,0.0,0.0
1,2025-01-01 00:04:54,2025-01-01 00:16:38,1.0,1.4,1.0,N,107,162,1,10.7,3.5,0.5,3.95,0.0,1.0,19.65,2.5,0.0,0.0
1,2025-01-01 00:34:32,2025-01-01 00:43:41,2.0,1.4,1.0,N,229,107,1,8.6,3.5,0.5,2.7,0.0,1.0,16.3,2.5,0.0,0.0
1,2025-01-01 00:51:59,2025-01-01 01:16:41,2.0,3.4,1.0,N,234,142,1,21.2,3.5,0.5,5.0,0.0,1.0,31.2,2.5,0.0,0.0
2,2025-01-01 00:48:18,2025-01-01 01:03:53,1.0,4.2,1.0,N,166,48,1,21.2,1.0,0.5,6.55,0.0,1.0,32.75,2.5,0.0,0.0
1,2025-01-01 00:30:58,2025-01-01 00:40:04,2.0,1.9,1.0,N,238,237,2,12.1,3.5,0.5,0.0,0.0,1.0,17.1,2.5,0.0,0.0
1,2025-01-01 00:46:10,2025-01-01 00:59:26,2.0,3.2,1.0,N,263,151,1,17.0,3.5,0.5,4.4,0.0,1.0,26.4,2.5,0.0,0.0
2,2025-01-01 00:36:56,2025-01-01 00:53:45,1.0,3.0,1.0,N,151,140,1,18.4,1.0,0.5,4.68,0.0,1.0,28.08,2.5,0.0,0.0
2,2025-01-01 00:11:13,2025-01-01 00:21:35,2.0,2.0,1.0,N,249,246,1,12.8,1.0,0.5,3.56,0.0,1.0,21.36,2.5,0.0,0.0
2,2025-01-01 00:19:18,2025-01-01 00:31:06,1.0,2.2,1.0,N,238,237,1,14.2,1.0,0.5,2.0,0.0,1.0,21.2,2.5,0.0,0.0
2,2025-01-01 00:33:54,2025-01-01 01:04:28,2.0,3.46,1.0,N,237,249,1,26.8,1.0,0.5,7.2,0.0,1.0,39.0,2.5,0.0,0.0
2,2025-01-01 00:09:04,2025-01-01 00:18:09,1.0,1.9,1.0,N,140,162,1,11.4,1.0,0.5,3.28,0.0,1.0,19.68,2.5,0.0,0.0
2,2025-01-01 00:55:23,2025-01-01 00:57:26,1.0,0.2,1.0,N,140,140,1,4.4,1.0,0.5,1.88,0.0,1.0,11.28,2.5,0.0,0.0
2,2025-01-01 00:21:57,2025-01-01 00:36:23,2.0,1.71,1.0,N,43,161,2,14.2,1.0,0.5,0.0,0.0,1.0,19.2,2.5,0.0,0.0
1,2025-01-01 00:16:23,2025-01-01 00:30:43,2.0,1.6,1.0,N,142,161,1,14.2,3.5,0.5,5.0,0.0,1.0,24.2,2.5,0.0,0.0
1,2025-01-01 00:34:52,2025-01-01 00:56:36,1.0,2.0,1.0,N,161,107,1,19.1,3.5,0.5,7.2,0.0,1.0,31.3,2.5,0.0,0.0
2,2025-01-01 00:36:06,2025-01-01 00:47:34,1.0,1.69,1.0,N,148,107,1,12.1,1.0,0.5,5.13,0.0,1.0,22.23,2.5,0.0,0.0
1,2025-01-01 00:19:41,2025-01-01 00:42:31,1.0,2.2,1.0,N,161,236,1,19.8,3.5,0.5,7.45,0.0,1.0,32.25,2.5,0.0,0.0
1,2025-01-01 00:48:55,2025-01-01 00:56:18,1.0,1.3,1.0,N,236,237,1,8.6,3.5,0.5,2.72,0.0,1.0,16.32,2.5,0.0,0.0
1,2025-01-01 00:57:20,2025-01-01 01:15:27,1.0,2.7,1.0,N,237,113,1,16.3,3.5,0.5,4.25,0.0,1.0,25.55,2.5,0.0,0.0
1,2025-01-01 00:15:20,2025-01-01 00:32:29,1.0,3.4,1.0,N,234,263,1,19.1,3.5,0.5,3.62,0.0,1.0,27.72,2.5,0.0,0.0
1,2025-01-01 00:57:41,2025-01-01 01:04:07,1.0,0.5,1.0,N,239,143,2,7.2,3.5,0.5,0.0,0.0,1.0,12.2,2.5,0.0,0.0
2,2025-01-01 00:10:04,2025-01-01 00:14:40,1.0,0.92,1.0,N,229,75,1,6.5,1.0,0.5,2.3,0.0,1.0,13.8,2.5,0.0,0.0
2,2025-01-01 00:35:46,2025-01-01 00:45:19,2.0,1.36,1.0,N,238,236,2,10.7,1.0,0.5,0.0,0.0,1.0,15.7,2.5,0.0,0.0
2,2025-01-01 00:08:07,2025-01-01 00:13:49,1.0,0.98,1.0,N,151,239,1,7.9,1.0,0.5,2.58,0.0,1.0,15.48,2.5,0.0,0.0
2,2025-01-01 00:15:39,2025-01-01 00:20:41,1.0,0.73,1.0,N,239,143,1,7.2,1.0,0.5,3.66,0.0,1.0,15.86,2.5,0.0,0.0
2,2025-01-01 00:28:28,2025-01-01 00:43:36,1.0,2.62,1.0,N,142,24,1,16.3,1.0,0.5,4.26,0.0,1.0,25.56,2.5,0.0,0.0
2,2025-01-01 00:45:56,2025-01-01 00:53:18,1.0,1.01,1.0,N,24,41,1,8.6,1.0,0.5,2.77,0.0,1.0,13.87,0.0,0.0,0.0
1,2025-01-01 00:51:41,2025-01-01 01:06:26,1.0,7.2,1.0,N,132,95,1,29.6,2.75,0.5,6.75,0.0,1.0,40.6,0.0,1.75,0.0
2,2025-01-01 00:10:11,2025-01-01 00:35:28,1.0,4.24,1.0,N,151,233,1,25.4,1.0,0.5,3.0,0.0,1.0,33.4,2.5,0.0,0.0
1,2025-01-01 00:36:14,2025-01-01 01:01:09,4.0,4.0,1.0,N,231,80,1,25.4,3.5,0.5,7.55,0.0,1.0,37.95,2.5,0.0,0.0
2,2025-01-01 00:33:16,2025-01-01 00:40:19,1.0,1.49,1.0,N,237,262,1,9.3,1.0,0.5,2.86,0.0,1.0,17.16,2.5,0.0,0.0
2,2025-01-01 00:34:23,2025-01-01 01:20:57,1.0,10.42,1.0,N,90,243,1,56.9,1.0,0.5,12.38,0.0,1.0,74.28,2.5,0.0,0.0
1,2025-01-01 00:25:23,2025-01-01 00:39:33,2.0,2.2,1.0,N,114,13,1,14.9,3.5,0.5,3.95,0.0,1.0,23.85,2.5,0.0,0.0
1,2025-01-01 00:49:48,2025-01-01 00:49:48,1.0,0.0,1.0,Y,87,264,2,20.06,0.0,0.0,0.0,0.0,0.0,20.06,0.0,0.0,0.0
2,2025-01-01 00:55:44,2025-01-01 01:27:41,1.0,14.84,1.0,N,132,89,1,59.0,1.0,0.5,12.3,0.0,1.0,75.55,0.0,1.75,0.0
1,2025-01-01 00:11:27,2025-01-01 00:16:58,0.0,0.7,1.0,N,144,211,1,7.2,3.5,0.5,0.0,0.0,1.0,12.2,2.5,0.0,0.0
1,2025-01-01 00:19:30,2025-01-01 00:27:25,0.0,1.0,1.0,N,211,158,1,9.3,3.5,0.5,2.85,0.0,1.0,17.15,2.5,0.0,0.0
1,2025-01-01 00:33:13,2025-01-01 00:40:08,0.0,1.2,1.0,N,158,68,1,8.6,3.5,0.5,1.0,0.0,1.0,14.6,2.5,0.0,0.0
1,2025-01-01 00:45:05,2025-01-01 01:20:32,0.0,1.8,1.0,N,68,50,1,28.2,3.5,0.5,8.3,0.0,1.0,41.5,2.5,0.0,0.0
2,2025-01-01 00:04:29,2025-01-01 00:55:58,9.0,31.97,5.0,N,132,265,2,90.0,0.0,0.0,0.0,20.32,1.0,111.32,0.0,0.0,0.0
2,2025-01-01 00:08:48,2025-01-01 00:14:02,1.0,0.93,1.0,N,229,233,2,7.2,1.0,0.5,0.0,0.0,1.0,12.2,2.5,0.0,0.0
2,2025-01-01 00:16:24,2025-01-01 00:19:46,1.0,0.89,1.0,N,233,229,1,6.5,1.0,0.5,2.07,0.0,1.0,13.57,2.5,0.0,0.0
2,2025-01-01 00:38:39,2025-01-01 00:52:19,1.0,1.91,1.0,N,229,164,1,14.2,1.0,0.5,3.84,0.0,1.0,23.04,2.5,0.0,0.0
2,2025-01-01 00:07:04,2025-01-01 00:10:01,1.0,0.47,1.0,N,163,237,1,5.1,1.0,0.5,2.02,0.0,1.0,12.12,2.5,0.0,0.0
2,2025-01-01 00:22:02,2025-01-01 00:36:52,1.0,1.93,1.0,N,142,162,1,14.2,1.0,0.5,3.84,0.0,1.0,23.04,2.5,0.0,0.0
2,2025-01-01 00:56:12,2025-01-01 01:15:00,1.0,0.97,1.0,N,161,170,4,-16.3,-1.0,-0.5,0.0,0.0,-1.0,-21.3,-2.5,0.0,0.0
2,2025-01-01 00:56:12,2025-01-01 01:15:00,1.0,0.97,1.0,N,161,170,4,16.3,1.0,0.5,0.0,0.0,1.0,21.3,2.5,0.0,0.0
2,2025-01-01 00:34:01,2025-01-01 01:03:36,2.0,2.43,1.0,N,162,90,1,25.4,1.0,0.5,0.0,0.0,1.0,30.4,2.5,0.0,0.0
1,2025-01-01 00:11:44,2025-01-01 00:28:54,1.0,3.2,1.0,N,226,80,2,19.1,1.0,0.5,0.0,0.0,1.0,21.6,0.0,0.0,0.0
1,2025-01-01 00:34:17,2025-01-01 00:39:32,1.0,1.5,1.0,N,256,232,1,9.3,3.5,0.5,1.43,0.0,1.0,15.73,2.5,0.0,0.0
1,2025-01-01 00:59:34,2025-01-01 01:10:33,1.0,1.0,1.0,N,79,249,1,9.3,3.5,0.5,3.6,0.0,1.0,17.9,2.5,0.0,0.0
